"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"657280162304667648","","","2015-10-22 19:39:37 +0000","<a href=""http://www.tweetiumapp.com"" rel=""nofollow"">Tweetium for Windows</a>","RT @etug: The Agora project at UdG...What's that? Find out at the Fall #etug
https://t.co/ZBMxISCwrc #proflearn","657277459503579136","17102936","2015-10-22 19:28:52 +0000","http://bit.ly/1NhGFoP,http://bit.ly/1NhGFoP"
"657271763273814016","","","2015-10-22 19:06:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EricaJoy: ""Thirty Percent Feedback"": https://t.co/MvbiBk437Y

I'm a fan.

(h/t @chrisbiscardi like a year ago) https://t.co/3XP7mOYfEs","657265327974187008","817083","2015-10-22 18:40:40 +0000","https://42floors.com/blog/startups/thirty-percent-feedback,http://twitter.com/EricaJoy/status/657265327974187008/photo/1,https://42floors.com/blog/startups/thirty-percent-feedback,http://twitter.com/EricaJoy/status/657265327974187008/photo/1"
"657253896696426496","","","2015-10-22 17:55:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Draft description of my #SFU DEMOFest 2015 flipped-LMS presentation/case study https://t.co/LHQnNjb05T","","","","http://hibbittsdesign.org/blog/sfu-demofest2015-presentation"
"657026732797521920","","","2015-10-22 02:52:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @getgrav: New blog post: ""Approaching Grav 1.0"" - https://t.co/jNiLa5XFrQ","656979668789104640","2737573033","2015-10-21 23:45:33 +0000","http://getgrav.org/blog/approaching-grav-1.0,http://getgrav.org/blog/approaching-grav-1.0"
"657003729556631552","657003468339716096","16847370","2015-10-22 01:21:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro Nice!","","","",""
"657003430687338496","657002982886739968","16847370","2015-10-22 01:19:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro You could 😀 Are you also thinking of positioning ELMS as both a standalone LMS and also in a flipped-LMS context?","","","",""
"657003030458425344","656999131727040512","16847370","2015-10-22 01:18:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro Indeed :-) Actually, that is another aspect of my flipped-LMS approach - front-end is hosted on GitHub to enable student contribs.","","","",""
"657001689384267776","657000725659062272","16847370","2015-10-22 01:13:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro In my experience yes as course ID and others are different each year but part of the URL is constant, i.e. https://t.co/THPxz8d1zY","","","","http://canvas.sfu.ca/"
"656998649788952576","656997775666581504","16847370","2015-10-22 01:00:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro https://t.co/Hsoe32qVJx Though Gist looks easier to view 😀","","","","https://github.com/hibbitts-design/hibbitts-design-org/commits/master/pages/blog/2015-10-20-flipped-lms-defined"
"656998512643588096","656997775666581504","16847370","2015-10-22 01:00:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro An interesting idea! I've already got the https://t.co/QYEZCoTAvO site being pushed from Git so changes could be seen there too?","","","","http://hibbittsdesign.org"
